"b_w","b_x","b_cost","lambda_nr","logLike"
0.5,0.5,-0.2,0.11,-8187.37552423014
0.5,0.5,-0.2,0.11,-8187.37552423014
0.501910323102493,0.490959539986216,-0.208616181544494,0.135587271223776,-8166.93936432937
0.503883310823848,0.489206484428552,-0.214915116102044,0.134472163944661,-8164.14462041768
0.551394976480525,0.49844028116235,-0.217599390660934,0.136687174507268,-8159.62640750095
0.549284319191217,0.525945991908058,-0.228310556281241,0.143236352755649,-8159.57116172639
0.576294718112745,0.507404196838279,-0.22890315660057,0.133868838136013,-8156.36211991228
0.577261955685045,0.508987523086541,-0.229087876086045,0.132880349245175,-8156.24785193486
0.576547802178246,0.509444497822554,-0.22871061053441,0.132625194165,-8156.23845958838
0.576409254734744,0.509125683821805,-0.228530910849084,0.132535917135291,-8156.23835305037
